S.NO,Reg_No,Address,"No. of
Children","Status of the
Institution",Name of the Orphanage,City,Country,State,Column1,Column3,Column4,Column2,Column22,Column23,Column24,Column25,Column26
507,360/DSW/2011,"Bethel Agricultural Fellowship – Lydia Girls Home, Danishpet Post, Omalur Taluk, Salem District – 636 354",155,"3 years
registration",Bethel Agricultural Fellowship – Lydia Girls Home,Salem,India,Tamil Nadu,,,,,,,,,
508,361/DSW/2011,"Life Line Trust- Binda Girl Children Home, 8-E, Raghuram Colony, Gandhi Road, Salem – 636 007.",19,"3 years
registration",Life Line Trust- Binda Girl Children Home,Salem,India,Tamil Nadu,,,,, Salem – 636 007.,,,,
509,394/DSW/2011,"Young Women’s Christian Association, 76A, Cherry Road, Hasthampatti, Salem-7",10,"3 years
registration",Young Women’s Christian Association,Salem,India,Tamil Nadu,,,,, Salem-7,,,,
510,452/DSW/2011,"Anbalayam Trust – Anbalayam Orphan Student Home, Killakku Vasal, Thalavaipatti, Salem – 636 302.",63,"3 years
registration",Anbalayam Trust – Anbalayam Orphan Student Home,Salem,India,Tamil Nadu,,,,,,,,,
511,453/DSW/2011,"Karunalayam (Unit of R.R.Social Welfare Trust), L-II-10, TNHB, School Road, Thalavaipatti, Salem – 636302.",15,"3 years
registration",Karunalayam (Unit of R.R.Social Welfare Trust),Salem,India,Tamil Nadu,,,,, Thalavaipatti, Salem – 636302.,,,
512,267/DSW/2010,"Good Samartian Primitive Baptist Trust – Shady Grove Children’s Home, R.C.Chettipatty, Omalur, Salem District – 636455",105,"3 years
registration",Good Samartian Primitive Baptist Trust – Shady Grove Children’s Home,Salem,India,Tamil Nadu,,,,,,,,,
513,268/DSW/2010,"Jesus Mercy Home Association, Sangeethapatti, Omalur, Salem District",40,"3 years
registration",Jesus Mercy Home Association,Salem,India,Tamil Nadu,,,,,,,,,
514,269/DSW/2010,"Jesus Mercy Home Association, R.C.Chettipatty, Omalur, Salem District",40,"3 years
registration",Jesus Mercy Home Association,Salem,India,Tamil Nadu,,,,,,,,,
515,270/DSW/2010,"House of Peace Promised Land, (Via), Thathanoor, paruthikadu, poovanoor (poor), Salem-636122",719,"3 years
registration",House of Peace Promised Land,Salem,India,Tamil Nadu,,,,, poovanoor (poor), Salem-636122,,,
516,271/DSW/2010,"House of Peace Orphanage, Vasanthapuram Near housing board, Salem District – 636 008",92,"3 years
registration",House of Peace Orphanage,Salem,India,Tamil Nadu,,,,,,,,,
517,272/DSW/2010,"The India Gospel League – Anderson Home for Children, Yercaud Road, Salem – 636 007",58,"3 years
registration",The India Gospel League – Anderson Home for Children,Salem,India,Tamil Nadu,,,,,,,,,
518,311/DSW/2010,"Salem Immaculate Heart of Mary Society – St.Patrick Home for Children, Nethimedu, Salem – 636002, Salem District",92,"3 years
registration",Salem Immaculate Heart of Mary Society – St.Patrick Home for Children,Salem,India,Tamil Nadu,,,,,,,,,
519,312/DSW/2010,"Annai Therasha Charitable Trust, Sevaraya Gounder Bungalow, Nangavalli Main Road, M. Kalipatty Post, Mecyheri (via), Mettur Taluk, Salem District, Pincode-636453",47,"3 years
registration",Annai Therasha Charitable Trust,Salem,India,Tamil Nadu,,,,, Mecyheri (via), Mettur Taluk, Salem District, Pincode-636453,
520,313/DSW/2010,"St. Nicholas Home for Children, R.C. Chettipatty (Via), Omalur Taluk, Salem District.",101,"3 years
registration",St. Nicholas Home for Children,Salem,India,Tamil Nadu,,,,,,,,,
521,314/DSW/2010,"Jesus Mercy Home Association, MMM. Vidivelly home, Adaikanoor, E. College Post, Salem 636 011.",85,"3 years
registration",Jesus Mercy Home Association,Salem,India,Tamil Nadu,,,,, Salem 636 011.,,,,
522,315/DSW/2010,"St. Joseph’s Charitable Educational Social Development Society – St. Joseph’s Home for Children, Suramangalam, Salem – 636 005.",489,"3 years
registration",St. Joseph’s Charitable Educational Social Development Society – St. Joseph’s Home for Children,Salem,India,Tamil Nadu,,,,,,,,,
523,316/DSW/2010,"Arul Matha Women’s Welfare Centre, 3/1187, Thamarai Nagar Road, Kannankurichi Post, Salem- 636 008.",27,"3 years
registration",Arul Matha Women’s Welfare Centre,Salem,India,Tamil Nadu,,,,, Salem- 636 008.,,,,
524,172/DSW/2010,"Bethel Agricultural Fellowship Baby Rescue Home, Danishpet, Salem District – 636 354",24,"3 years
registration",Bethel Agricultural Fellowship Baby Rescue Home,Salem,India,Tamil Nadu,,,,,,,,,
525,173/DSW/2010,"The Congregation of the Sisters of St. Joseph of Cluny – Nazareth Convent, Yercaud, Salem District – 636601",60,"3 years
registration",The Congregation of the Sisters of St. Joseph of Cluny – Nazareth Convent,Salem,India,Tamil Nadu,,,,,,,,,
526,174/DSW/2010,"Lovers of Truth Unity & Service – Lotus Home, 455, Rohini Garden, Alagapuram Padur, Salem – 636 016",87,"3 years
registration",Lovers of Truth Unity & Service – Lotus Home,Salem,India,Tamil Nadu,,,,, Salem – 636 016,,,,
527,175/DSW/2010,"Life line Trust – Reception Home for Girl Children 3^{rd} Cross Chandra Garden, Chinnatirupathi, Salem – 636 008",5,"3 years
registration",Life line Trust – Reception Home for Girl Children 3^{rd} Cross Chandra Garden,Salem,India,Tamil Nadu,,,,,,,,,
528,176/DSW/2010,"The Indian Gypsy Works Fellowship Trust Children Home “B”, 3/78, Mettu Street, Udayapatti post, Salem – 636 140",49,"3 years
registration",The Indian Gypsy Works Fellowship Trust Children Home “B”,Salem,India,Tamil Nadu,,,,, Salem – 636 140,,,,
529,177/DSW/2010,"Life Line Trust (Adoption Unit) 3^{rd} Cross, Chandra Garden Chinnatirupathi, Salem – 636 008",9,"3 years
registration",Life Line Trust (Adoption Unit) 3^{rd} Cross,Salem,India,Tamil Nadu,,,,,,,,,
530,178/DSW/2010,"Kamalalayam Charitable Trust for the Disabled and orphan, No.5/46, (Near Maheswari Theatre) Valappadu post & Taluk, Salem – 636 115",43,"3 years
registration",Kamalalayam Charitable Trust for the Disabled and orphan,Salem,India,Tamil Nadu,,,,,,,,,
531,250/DSW/2010,"The Society of Mary Immaculate – St. Mary’s Home for Children, Arisipalayam, Salem District – 636009",121,"3 years
registration",The Society of Mary Immaculate – St. Mary’s Home for Children,Salem,India,Tamil Nadu,,,,,,,,,
532,251/DSW/2010,"St. Gabriel’s Home for Children (Boarding), A.N. Mangalam, (via) Karipatty, Salem District – 636 106.",112,"3 years
registration",St. Gabriel’s Home for Children (Boarding),Salem,India,Tamil Nadu,,,,,,,,,
533,252/DSW/2010,"St. Gabriel’s Home for Children (Home for Destitute Children), A.N. Mangalam, (via) Karipatty, Salem District – 636 106.",50,"3 years
registration",St. Gabriel’s Home for Children (Home for Destitute Children),Salem,India,Tamil Nadu,,,,,,,,,
534,253/DSW/2010,"Amala Anbu Karangal, Gundukallur, Udayapatti Post, Salem District -636 140",82,"3 years
registration",Amala Anbu Karangal,Salem,India,Tamil Nadu,,,,,,,,,
480,499/DSW/2011,"Society of Ursuline Sisters of Somasca – Asha Nivas Karunai Illam, Nagamugundangudi post, Ilayankudi Taluk, Kundukulam, Sivagangai District",60,"3 years
registration",Society of Ursuline Sisters of Somasca – Asha Nivas Karunai Illam,Sivaganga,India,Tamil Nadu,,,,, Sivagangai District,,,,
481,500/DSW/2011,"The Immaculate Conception Women Development Social Service Society of Sivaganga Province – St. Michael’s Home for Children, Salaigramam, Sivagangai – 630710.",44,"3 years
registration",The Immaculate Conception Women Development Social Service Society of Sivaganga Province – St. Michael’s Home for Children,Sivaganga,India,Tamil Nadu,,,,,,,,,
482,660/DSW/2011,"Kathryn’s Mercy Home Trust – Girls Hostel, Maviduthikottai Main Road, Maviduthikottai, Devakottai Taluk, Sivagangai District",85,"3 years
registration",Kathryn’s Mercy Home Trust – Girls Hostel,Sivaganga,India,Tamil Nadu,,,,, Sivagangai District,,,,
483,661/DSW/2011,"R.C.Diocese of Sivagangai - Fr.Louis Leveil Home for Children, Sarukanei – 630411, Sivagangai District",170,"3 years
registration",R.C.Diocese of Sivagangai - Fr.Louis Leveil Home for Children,Sivaganga,India,Tamil Nadu,,,,,,,,,
484,88/DSW/2010,"Annai Home for Children, Annai Illam, Annai Nagar, Andichioorani, Kalaiyarkoil, sivagangai District – 630 551.",159,"3 years
registration",Annai Home for Children,Sivaganga,India,Tamil Nadu,,,,, Kalaiyarkoil, sivagangai District – 630 551.,,,
485,94/DSW/2010,"St. Mary’s Home for Children, Suranam, Sivagangai District – 630 713",104,"3 years
registration",St. Mary’s Home for Children,Sivaganga,India,Tamil Nadu,,,,,,,,,
486,263/DSW/2010,"The R.C.Diocese of Sivagangai – Edward Home for Children, Nanakudi, Hanumanthakudi (post), Devakottai (via), Sivagangai District – 630 303",191,"3 years
registration",The R.C.Diocese of Sivagangai – Edward Home for Children,Sivaganga,India,Tamil Nadu,,,,, Sivagangai District – 630 303,,,,
487,304/DSW/2010,"Mahilchi Illam, Jebathottam, Periyanarikottai, Kalayarkoil Post, Sivagangai District – 630551",34,"3 years
registration",Mahilchi Illam,Sivaganga,India,Tamil Nadu,,,,, Sivagangai District – 630551,,,,
488,391/DSW/2011,"Clara Children Home, Kaviyalaya, Capuchin House, Okkur Post, Sivagangai – 630 557",31,"3 years
registration",Clara Children Home,Sivaganga,India,Tamil Nadu,,,,, Sivagangai – 630 557,,,,
489,417/DSW/2011,"The Society of Mother of Sorrows, Servants of Mary – St. Michael’s Home for Children, Sekkakudy, Karaikudi (taluk), Sivagangai District – 630 408.",279,"3 years
registration",The Society of Mother of Sorrows,Sivaganga,India,Tamil Nadu,,,,, Sivagangai District – 630 408.,,,,
490,494/DSW/2011,"St. Joseph’s Home for Children, RamNagar, Devakottai (Extn.,) Sivagangai District – 630 303",306,"3 years
registration",St. Joseph’s Home for Children,Sivaganga,India,Tamil Nadu,,,,,,,,,
491,495/DSW/2011,"R.C. Diocese of Sivagangai -Bishop Edward Francis Mercy Home, Rajagembiram, Manamadurai –via, Sivagangai – 630609",211,"3 years
registration",R.C. Diocese of Sivagangai -Bishop Edward Francis Mercy Home,Sivaganga,India,Tamil Nadu,,,,,,,,,
492,496/DSW/2011,"Matha Memorial Education Trust (MMET) – Matha Children’s Home, Vaanpuram, Manamadurai-630 606, Sivagangai District",36,"3 years
registration",Matha Memorial Education Trust (MMET) – Matha Children’s Home,Sivaganga,India,Tamil Nadu,,,,,,,,,
493,497/DSW/2011,"St. John’s Girls Hostel, Arul Nagar, Vellimuthi Villakku, Devakottai, Sivagangai District",600,"3 years
registration",St. John’s Girls Hostel,Sivaganga,India,Tamil Nadu,,,,, Sivagangai District,,,,
494,498/DSW/2011,"The Society of the Immaculate Conception Madurai No.4 – Sahaya Rani Girls Hostel, Susaiappearpattanam, Kalaiyarkoil via, Sivagangai District – 630551",527,"3 years
registration",The Society of the Immaculate Conception Madurai No.4 – Sahaya Rani Girls Hostel,Sivaganga,India,Tamil Nadu,,,,,,,,,
457,717/DSW/2012,"Paragelit Loving Orphan Home, (Run by Care Trust) No.69, K.R.R. Nagar, Theni – 625531",7,"3 years
registration",Paragelit Loving Orphan Home,Theni,India,Tamil Nadu,,,,,,,,,
458,718/DSW/2012,"A.H.M. Trust, B. Dharmathupatti, B. Mealachokkanathapuram (po), Bodinayakanur (taluk), Theni District – 625 582",30,"3 years
registration",A.H.M. Trust,Theni,India,Tamil Nadu,,,,, Theni District – 625 582,,,,
459,192/DSW/2010,"Mercy People’s Life Development Trust Mercy Home for Children, North Street Thevaram, Theni Distirct – 625 530",192,"3 years
registration",Mercy People’s Life Development Trust Mercy Home for Children,Theni,India,Tamil Nadu,,,,,,,,,
460,247/DSW/210,"Maranatha Full Gospel Charitable Association – Maranatha Intermission Children Home, Annapuram Road, Malaiammalpuram, Cumbum-625 516, Theni District",39,"3 years
registration",Maranatha Full Gospel Charitable Association – Maranatha Intermission Children Home,Theni,India,Tamil Nadu,,,,, Theni District,,,,
461,292/DSW/2010,"Little Flower Orphans Home, 1/2, Building Society Street, North Colony, Old Post office, Chinnamanur, Theni District",9,"3 years
registration",Little Flower Orphans Home,Theni,India,Tamil Nadu,,,,, Old Post office, Chinnamanur, Theni District,,
462,515/DSW/2011,"Nehru Destitute Children’s Home, (Branch of Nehru Memorial Service Organisation), 33W, Santhanamariyamman Kovil Street, Om Sakthi Nagar, Bodinaykanur, Theni District – 625 513.",101,"3 years
registration",Nehru Destitute Children’s Home,Theni,India,Tamil Nadu,,,,, Om Sakthi Nagar, Bodinaykanur, Theni District – 625 513.,,
463,516/DSW/2011,"Annai Theresa Children’s Home (Run by Mercy Trust), D.No.79, Gnanabhavanam, VRP Naidu Street, Vadagarai Periyakulam (Taluk), Theni District",16,"3 years
registration",Annai Theresa Children’s Home (Run by Mercy Trust),Theni,India,Tamil Nadu,,,,, Vadagarai Periyakulam (Taluk), Theni District,,,
464,517/DSW/2011,"Nethaji Trust – Nethaji Orphanage Home, 3/W, 232-C2, Nethaji Nagar, Cumbum – 625516, Theni District",25,"3 years
registration",Nethaji Trust – Nethaji Orphanage Home,Theni,India,Tamil Nadu,,,,, Cumbum – 625516, Theni District,,,
465,545/DSW/2011,"Rejoice Charitable Trust – Rejoice Children’s Home, No.3.1.9/New:3.1.15/1, Lakshi Nagar, P.C. Patti, Theni District – 625531",5,"3 years
registration",Rejoice Charitable Trust – Rejoice Children’s Home,Theni,India,Tamil Nadu,,,,, Theni District – 625531,,,,
466,546/DSW/2011,"Humanity Trust, Vuppukkottai Villakku, Thangamani Nagar, Veerapandi, Theni District",83,"3 years
registration",Humanity Trust,Theni,India,Tamil Nadu,,,,, Theni District,,,,
467,627/DSW/2012,"Reaching the Unreached – Nirmala Children’s Village, B.Dharmathupatti – 625 582, Melachokkanathapuram Post, Bodinayakanur Taluk, Theni District",120,"3 years
registration",Reaching the Unreached – Nirmala Children’s Village,Theni,India,Tamil Nadu,,,,, Theni District,,,,
468,653/DSW/2011,"Caussanel Home for Children – Brothers of the Sacred Heart, Royappanpatty, Theni District-625526",50,"3 years
registration",Caussanel Home for Children – Brothers of the Sacred Heart,Theni,India,Tamil Nadu,,,,,,,,,
469,6/DSW/2010,"Grace Christian Assembly Trust D.No.33/C4, Samikulam 2^{nd} Street, Chinnamanur, Theni District.",23,"3 years
registration",Grace Christian Assembly Trust D.No.33/C4,Theni,India,Tamil Nadu,,,,,,,,,
470,109/DSW/2010,"Anbagam Children’s Village (Maitri Society) Koduvilarpatty, Theni – 625 534",35,"3 years
registration",Anbagam Children’s Village (Maitri Society) Koduvilarpatty,Theni,India,Tamil Nadu,,,,,,,,,
471,120/DSW/2010,"Annai Therasa Anbalayam 47-A, Ramakaran Street, Boothipuram, Bodi, theni – 625 531",50,"3 years
registration",Annai Therasa Anbalayam 47-A,Theni,India,Tamil Nadu,,,,, theni – 625 531,,,,
472,121/DSW/2010,"Pudhu Punal (St.Joseph’s Development Trust), Mathuvar Kulam, Genguvarpatti (po), Periyakulam (Taluk), Theni – 625 203",64,"3 years
registration",Pudhu Punal (St.Joseph’s Development Trust),Theni,India,Tamil Nadu,,,,, Theni – 625 203,,,,
473,144/DSW/2010,"Divine Mercy Home (run by Sneha Welfare Trust), Madurai Main Road, Near Best Rubber Factory, T.Rajagopalanpatty, Aandipatty Taluk, Theni District – 625 536",3,"3 years
registration",Divine Mercy Home (run by Sneha Welfare Trust),Theni,India,Tamil Nadu,,,,, Aandipatty Taluk, Theni District – 625 536,,,
474,152/DSW/2010,"Maranatha Intermission Children Home, Hanumanthanpatty, Uthamapalayam Theni District – 625 533",32,"3 years
registration",Maranatha Intermission Children Home,Theni,India,Tamil Nadu,,,,,,,,,
475,187/DSW/2010,"Humanity Trust, Samatharmapuram, Balasanka Dhall Mill in front, Theni District",40,"3 years
registration",Humanity Trust,Theni,India,Tamil Nadu,,,,,,,,,
476,188/DSW/2010,"Hosanna Children Home Lower Camp,Periyar Project (post), Theni District – 625 525",100,"3 years
registration",Hosanna Children Home Lower Camp,Theni,India,Tamil Nadu,,,,,,,,,
477,189/DSW/2010,"Muham Madiya Yetheemkhana (Orphanage) (Sponsored by Darus – Salem Society), 16B-11, Cumbum Mettu Road,Cumbum, Theni District- 625516",32,"3 years
registration",Muham Madiya Yetheemkhana (Orphanage) (Sponsored by Darus – Salem Society),Theni,India,Tamil Nadu,,,,, Theni District- 625516,,,,
478,190/DSW/2010,"St. Joseph’s Boys Village, Genguvarpatti Post, Periyakulam Taluk, Theni District – 625 203",80,"3 years
registration",St. Joseph’s Boys Village,Theni,India,Tamil Nadu,,,,,,,,,
479,191/DSW/2010,"Subburaj Memorial Destitute Home, (Branch of Nehru Memorial Service Organisation, Subburaj Nagar, Bodinaykanur Taluk, Theni District – 625 513",13,"3 years
registration",Subburaj Memorial Destitute Home,Theni,India,Tamil Nadu,,,,, Theni District – 625 513,,,,
646,568/DSW/2011,"Congregation of the Sisters of St.Anne – St.Anne’s Home for Children, Melapudur, Trichy – 1.",535,"3 years
registration",Congregation of the Sisters of St.Anne – St.Anne’s Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
647,569/DSW/2011,"St.John’s Boys Town (Orphanage), Manjampatti – 621307, Manapparai Taluk, Trichy District",150,"3 years
registration",St.John’s Boys Town (Orphanage),Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
648,570/DSW/2011,"Hope of the Hopeless, 9-12, Visuvasa Avenue, Uyyakondan Thirumalai, Trichy-620 102",74,"3 years
registration",Hope of the Hopeless,Thiruchirappalli,India,Tamil Nadu,,,,, Trichy-620 102,,,,
649,571/DSW/2011,"Amala Home for Children, 1/1, Bye-pass Road, Pullambadi, Lalgudi Taluk, Trichy District – 621711.",210,"3 years
registration",Amala Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,, Lalgudi Taluk, Trichy District – 621711.,,,
650,635/DSW/2011,"Al-Hudha Orphanage, 6/7, Salafi Nagar, Wireless Road, Airport, Trichy – 7",307,"3 years
registration",Al-Hudha Orphanage,Thiruchirappalli,India,Tamil Nadu,,,,, Airport, Trichy – 7,,,
651,636/DSW/2011,"Pratheeksha Home for Children, S. Pudur, Samayapuram Post, Trichy District – 621 112.",40,"3 years
registration",Pratheeksha Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
652,672/DSW/2012,"St. James Home for Children, St. Anne’s Convent, Melapudur, Tiruchirapalli – 620 001",113,"3 years
registration",St. James Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
653,673/DSW/2012,"Blessing Childrens Home, Eluppaiyur Village, Musiri Taluk, Trichy District",72,"3 years
registration",Blessing Childrens Home,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
654,674/DSW/2012,"Sri Lalita Mahila Samajam, Tirueengoimalai post, Thottiam Taluk, Trichy District – 621209",50,"3 years
registration",Sri Lalita Mahila Samajam,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
655,675/DSW/2012,"St. Xavier & Britto Boys Home, Manachanallur Via, Purathakudy (post), Trichy – 621 111",350,"3 years
registration",St. Xavier & Britto Boys Home,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
656,702/DSW/2012,"T.E.L.C. Home for Girls, Sengaraiyur (post), Lalgudi Taluk, Trichy District – 621702",82,"3 years
registration",T.E.L.C. Home for Girls,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
657,334/DSW/2010,"Congregation of the Sisters of the Cross of Chavanod -Holy Cross Home for Children, Golden Rock, Tiruchirapalli – 620 004.",200,"3 years
registration",Congregation of the Sisters of the Cross of Chavanod -Holy Cross Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
658,335/DSW/2010,"Friendship Home for Children (Voice Trust), Siruganur, Mannachanallur, Trichy District – 621105",21,"3 years
registration",Friendship Home for Children (Voice Trust),Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
659,397/DSW/2011,"Deva Kirubai Social Help Association (DKSHA), Mullippadi, Avarampatty-621307, Manjampatty, Manapparai Taluk, Trichy District",34,"3 years
registration",Deva Kirubai Social Help Association (DKSHA),Thiruchirappalli,India,Tamil Nadu,,,,, Manapparai Taluk, Trichy District,,,
660,398/DSW/2011,"TamilNadu Pengal Nala Sangam, Annai Ashram Campus, Airport (post), Trichirapalli – 620007",150,"3 years
registration",TamilNadu Pengal Nala Sangam,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
661,412/DSW/2011,"Theresia Karunalaya Children Home, 4/213, Anthoniar koil Street, North Kattur, Trichy – 620 019.",52,"3 years
registration",Theresia Karunalaya Children Home,Thiruchirappalli,India,Tamil Nadu,,,,, Trichy – 620 019.,,,,
662,562/DSW/2011,"Saint Boniface Anbaham, Fr.Albert Nagar, Nagamangalam, Trichirapalli, Trichy District-620 012",223,"3 years
registration",Saint Boniface Anbaham,Thiruchirappalli,India,Tamil Nadu,,,,, Trichy District-620 012,,,,
663,563/DSW/2011,"Congregation of the Sisters of the Cross of Chavanod – St.Joseph’s Home for Children, Vadugarpet – 621651, Dalmiapuram, Trichy District",383,"3 years
registration",Congregation of the Sisters of the Cross of Chavanod – St.Joseph’s Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
664,564/DSW/2011,"Tamil Nadu Students Home, Bharathipuram, Kailasapuram, Trichy-14 .",50,"3 years
registration",Tamil Nadu Students Home,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
665,565/DSW/2011,"TELC Home for Children, 40, kemps town, Goods shed Road, Trichy – 1",110,"3 years
registration",TELC Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,, Trichy – 1,,,,
666,566/DSW/2011,"The Society of Mother of Sorrows Servants of Mary – St. Theresa’s Home for Children, Manaparai, Trichy District",210,"3 years
registration",The Society of Mother of Sorrows Servants of Mary – St. Theresa’s Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
667,567/DSW/2011,"Mahalir Vidiyal Trust – Pannpucholai Children Home, 3/3, Vellakulam, Ayanporuvai post, Palakurichy via, Trichy District – 621 308",30,"3 years
registration",Mahalir Vidiyal Trust – Pannpucholai Children Home,Thiruchirappalli,India,Tamil Nadu,,,,, Palakurichy via, Trichy District – 621 308,,,
668,26/DSW/2010,The Tiruchi Seva Sangam 3/2 William’s Road Cantonment Trichy District,125,"3 years
registration",The Tiruchi Seva Sangam 3/2 William’s Road Cantonment Trichy District,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
669,65/DSW/2010,"Society for Poor People Development 1/76-A, Thuraiyar Road, Soriyampatti, M. Pudupatti (po), Musiri (Tk), Trichy – 621 211",24,"3 years
registration",Society for Poor People Development 1/76-A,Thiruchirappalli,India,Tamil Nadu,,,,, Musiri (Tk), Trichy – 621 211,,,
670,69/DSW/2010,"Sri Ramakrishna Kudil, Thiupparai Thurai, Trichy – 639 115.",288,"3 years
registration",Sri Ramakrishna Kudil,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
671,95/DSW/2010,"Jaya Balwadi Educational Society Aravakurichi Patti Village, Asoor post, Tiruchirapalli-620 015.",125,"3 years
registration",Jaya Balwadi Educational Society Aravakurichi Patti Village,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
672,127/DSW/2010,"Cope Trust Muthukulam N.Kuttapatii (po), Trichy - 620 009.",41,"3 years
registration",Cope Trust Muthukulam N.Kuttapatii (po),Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
673,155/DSW/2010,"St. James Home for Children, Ammapettai, Poolankulathupatti Post, Srirangam (Taluk), Trichy - 620 009",220,"3 years
registration",St. James Home for Children,Thiruchirappalli,India,Tamil Nadu,,,,, Trichy - 620 009,,,,
674,156/DSW/2010,"Auxilium Home for Children Vadakkupagenoor, Ramji Nagar (Via), Trichy – 09",55,"3 years
registration",Auxilium Home for Children Vadakkupagenoor,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
675,210/DSW/2010,"St. Thomas Mercy Home, (Unit of the Society of Franciscan Sisters of St. Thomas), Malaiyadipatti, Manaparai, Trichy District 621 307",75,"3 years
registration",St. Thomas Mercy Home,Thiruchirappalli,India,Tamil Nadu,,,,, Trichy District 621 307,,,,
676,211/DSW/2010,"St. Don Bosco’s home for Children, Ayyampatti, Trichy -15",196,"3 years
registration",St. Don Bosco’s home for Children,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
677,282/DSW/2010,"Nagammiyar Children’s Home, Periyar Centenary Educational Complex, Periyar Nagar, Trichy – 620021",150,"3 years
registration",Nagammiyar Children’s Home,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
678,297/DSW/2010,"Holy Family HANSENORIUM Children’s Care Home, Fathima Nagar, Trichy 12 .",62,"3 years
registration",Holy Family HANSENORIUM Children’s Care Home,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
679,333/DSW/2010,"Socsead- St. Martin’s Children’s Home, Mambala Salai, Opp. ABT. Maruthi Car Agency, Trichy District.",24,"3 years
registration",Socsead- St. Martin’s Children’s Home,Thiruchirappalli,India,Tamil Nadu,,,,,,,,,
687,709/DSW/2012,"Faith Home Orphanage, No.13, Ramakrishna Street, Porur, Chennai – 600 116, Thiruvallur District",150,"3 years
registration",Faith Home Orphanage,Thiruvallur,India,Tamil Nadu,,,,, Chennai – 600 116, Thiruvallur District,,,
688,637/DSW/2011,"Udavum Karangal- Santhivanam, 93, Car Street, Thiruverkadu, Poonamallee Taluk, Chennai-600 077, Thiruvallur District.",266,"3 years
registration",Udavum Karangal- Santhivanam,Thiruvallur,India,Tamil Nadu,,,,, Poonamallee Taluk, Chennai-600 077, Thiruvallur District.,,
689,638/DSW/2011,"IMF Arul Yesu Illam, No.27, Amirthapuram, Tiruttani – 631209, Tiruvallur District",36,"3 years
registration",IMF Arul Yesu Illam,Thiruvallur,India,Tamil Nadu,,,,, Tiruvallur District,,,,
690,639/DSW/2011,"Paadhai Society for Underprivileged, 24-B, Kalaingnar Street, Valasaravakkam, Chennai – 87, Tiruvallur District",27,"3 years
registration",Paadhai Society for Underprivileged,Thiruvallur,India,Tamil Nadu,,,,, Chennai – 87, Tiruvallur District,,,
691,640/DSW/2011,"Love Foundation, No.6, Anbalagan Nagar, Minjur, Ponneri Taluk, Thiruvallur District – 601203.",25,"3 years
registration",Love Foundation,Thiruvallur,India,Tamil Nadu,,,,, Ponneri Taluk, Thiruvallur District – 601203.,,,
692,641/DSW/2011,"“Siloam Youth and Children’s – Aid Mission (P) Ltd.,” 23, Ayyappan Street, Venkateswara Nagar, Ambattur, Chennai -600 053, Thiruvallur District.",18,"3 years
registration",“Siloam Youth and Children’s – Aid Mission (P) Ltd.,Thiruvallur,India,Tamil Nadu,,,,, Ambattur, Chennai -600 053, Thiruvallur District.,,
693,666/DSW/2012,"Auxilium Home for Children, CTH Road, Avadi, Behind St. Antony’s Chruch Avadi, Chennai -600 054, Thiruvallur District.",90,"3 years
registration",Auxilium Home for Children,Thiruvallur,India,Tamil Nadu,,,,, Chennai -600 054, Thiruvallur District.,,,
694,667/DSW/2012,"Seam Children’s Home, (SouthEast Asian Missions Trust), 10, Arcot Road, Porur, Chennai – 600 116, Thiruvallur District",37,"3 years
registration",Seam Children’s Home,Thiruvallur,India,Tamil Nadu,,,,, Porur, Chennai – 600 116, Thiruvallur District,,
695,668/DSW/2012,"Pengal Samooga Nala Trust, No.4, Trust Colony, Poonamallee, Thiruvallur High Road, Aranvoyil, Thiruvallur District",30,"3 years
registration",Pengal Samooga Nala Trust,Thiruvallur,India,Tamil Nadu,,,,, Thiruvallur High Road, Aranvoyil, Thiruvallur District,,
696,669/DSW/2012,"Aatharikkum Karangal, A9, HIG Flats Mathoor, Manali, Chennai 600 068",28,"3 years
registration",Aatharikkum Karangal,Thiruvallur,India,Tamil Nadu,,,,, Chennai 600 068,,,,
